date,machine_id,material_type,environment,production_yield,defect_rate,machine_downtime,temperature,humidity
2023-09-17,Machine_2,Silicon Carbide,Cleanroom_4,89.52,0.67,6.71,22.88,46.99
2023-12-06,Machine_2,Germanium,Cleanroom_4,94.16,6.59,17.51,25.19,35.75
2024-07-15,Machine_14,Germanium,Cleanroom_2,75.1,6.31,13.78,27.42,39.46
2023-09-30,Machine_18,Gallium Arsenide,Cleanroom_3,70.06,6.43,17.98,21.56,30.69
2024-08-22,Machine_17,Germanium,Cleanroom_4,71.01,2.85,7.31,29.95,36.5
2024-08-21,Machine_15,Silicon,Cleanroom_4,99.55,7.64,4.28,22.06,34.48
2023-06-06,Machine_18,Silicon,Cleanroom_4,89.26,8.55,4.64,28.97,39.71
2023-04-15,Machine_4,Silicon Carbide,Cleanroom_3,78.44,8.18,21.29,21.33,44.9
2023-12-18,Machine_16,Silicon,Cleanroom_2,98.03,0.51,9.7,28.09,34.54
2024-11-24,Machine_2,Silicon Carbide,Cleanroom_4,99.08,5.68,5.42,25.42,47.69
2023-04-28,Machine_11,Gallium Arsenide,Cleanroom_4,91.03,9.88,14.2,20.21,31.26
2024-05-27,Machine_5,Germanium,Cleanroom_2,87.58,3.24,22.63,22.02,34.04
2024-05-02,Machine_10,Germanium,Cleanroom_3,80.88,8.02,15.03,26.16,37.04
2024-05-02,Machine_1,Germanium,Cleanroom_1,87.82,1.15,22.31,28.54,41.92
2023-04-28,Machine_15,Germanium,Cleanroom_3,71.3,4.5,5.82,25.13,44.83
2023-01-04,Machine_19,Silicon Carbide,Cleanroom_3,84.39,5.46,7.93,27.08,35.32
2024-09-08,Machine_14,Silicon Carbide,Cleanroom_2,95.33,1.28,2.94,25.75,35.29
2024-12-10,Machine_2,Silicon Carbide,Cleanroom_4,77.04,6.92,11.58,29.56,47.22
2024-04-10,Machine_3,Gallium Arsenide,Cleanroom_4,85.62,2.43,17.01,24.61,42.62
2024-08-13,Machine_5,Silicon,Cleanroom_3,79.08,4.54,9.34,21.29,39.13
2024-08-13,Machine_12,Gallium Arsenide,Cleanroom_4,83.19,9.54,23.52,23.82,45.58
2023-09-03,Machine_5,Gallium Arsenide,Cleanroom_4,91.36,7.01,1.61,26.37,49.66
2023-10-29,Machine_2,Germanium,Cleanroom_4,92.84,7.32,18.1,25.93,30.13
2024-04-28,Machine_6,Silicon Carbide,Cleanroom_1,98.55,2.85,10.55,24.78,39.21
2023-08-10,Machine_10,Germanium,Cleanroom_3,91.97,2.61,6.13,29.14,48.02
2023-01-08,Machine_8,Silicon Carbide,Cleanroom_3,82.83,5.22,14.89,29.94,49.97
2023-08-19,Machine_13,Silicon Carbide,Cleanroom_3,96.69,2.19,23.36,24.54,39.69
2024-02-20,Machine_12,Gallium Arsenide,Cleanroom_4,79.38,7.44,20.48,29.02,37.68
2024-04-01,Machine_1,Silicon,Cleanroom_2,84.7,8.0,12.63,25.99,49.29
2023-02-09,Machine_5,Silicon Carbide,Cleanroom_3,73.81,8.32,9.4,21.66,37.09
