date,machine_id,material_type,environment,production_yield,defect_rate,machine_downtime,temperature,humidity
2023-11-09,Machine_6,Silicon Carbide,Cleanroom_3,81.21,0.25,4.09,21.73,38.16
2023-12-22,Machine_8,Silicon Carbide,Cleanroom_3,98.86,0.19,23.59,24.97,47.5
2024-10-27,Machine_15,Gallium Arsenide,Cleanroom_4,71.36,9.32,21.7,28.66,35.13
2024-01-26,Machine_18,Silicon,Cleanroom_4,86.62,9.95,8.49,24.85,47.56
2023-07-17,Machine_15,Germanium,Cleanroom_3,90.76,8.44,19.22,28.05,46.81
2023-10-12,Machine_9,Silicon,Cleanroom_1,89.2,4.84,7.45,25.18,30.21
2024-01-02,Machine_16,Germanium,Cleanroom_1,80.94,4.53,1.59,21.52,34.18
2023-08-11,Machine_19,Germanium,Cleanroom_3,98.14,6.48,8.06,29.53,49.53
2023-10-22,Machine_12,Gallium Arsenide,Cleanroom_4,83.7,5.99,6.88,26.81,30.13
2024-05-16,Machine_2,Gallium Arsenide,Cleanroom_1,87.36,2.88,12.62,20.05,46.73
2024-05-13,Machine_13,Silicon Carbide,Cleanroom_4,72.01,6.94,1.42,21.86,36.22
2023-06-01,Machine_11,Germanium,Cleanroom_4,87.16,4.21,3.68,29.69,48.69
2023-04-09,Machine_5,Gallium Arsenide,Cleanroom_4,93.65,0.45,7.06,22.47,42.78
2024-07-11,Machine_20,Germanium,Cleanroom_3,78.87,6.28,8.2,22.92,46.23
2024-02-09,Machine_11,Silicon,Cleanroom_1,87.75,3.43,15.88,22.02,49.86
2023-05-08,Machine_9,Gallium Arsenide,Cleanroom_3,97.24,9.58,11.51,29.11,40.56
2024-02-27,Machine_19,Silicon Carbide,Cleanroom_2,90.75,7.47,17.59,28.03,35.87
2024-01-22,Machine_16,Silicon,Cleanroom_4,86.79,2.42,15.27,28.02,33.0
2024-08-30,Machine_19,Silicon,Cleanroom_4,75.17,4.59,18.95,20.62,30.06
2023-07-26,Machine_7,Gallium Arsenide,Cleanroom_4,81.84,8.4,10.17,24.64,31.63
2024-03-24,Machine_15,Silicon Carbide,Cleanroom_4,83.25,8.95,4.8,23.96,38.96
2024-02-29,Machine_15,Germanium,Cleanroom_3,76.68,4.76,12.17,25.01,30.4
2023-08-14,Machine_10,Silicon,Cleanroom_1,92.1,7.76,21.45,28.06,41.11
