date,machine_id,material_type,environment,production_yield,defect_rate,machine_downtime,temperature,humidity
2023-07-19,Machine_11,Silicon,Cleanroom_2,96.83,4.41,21.87,22.67,43.07
2023-10-22,Machine_9,Silicon Carbide,Cleanroom_1,81.64,2.49,2.28,20.48,36.09
2024-02-20,Machine_9,Gallium Arsenide,Cleanroom_3,89.43,9.28,15.2,23.16,35.18
2024-07-07,Machine_14,Silicon,Cleanroom_4,80.68,7.52,9.2,20.49,34.77
2024-07-08,Machine_19,Gallium Arsenide,Cleanroom_2,86.48,5.42,7.89,28.83,35.93
2023-12-29,Machine_20,Gallium Arsenide,Cleanroom_2,95.89,4.31,11.88,29.69,41.11
2023-05-22,Machine_2,Silicon Carbide,Cleanroom_2,87.91,2.45,16.22,22.98,48.04
2024-08-05,Machine_5,Gallium Arsenide,Cleanroom_1,96.27,7.29,16.84,24.92,42.26
2024-10-16,Machine_17,Germanium,Cleanroom_1,71.24,6.95,4.67,29.72,45.74
2023-09-02,Machine_3,Silicon Carbide,Cleanroom_1,96.93,4.35,19.52,20.99,36.17
2024-10-13,Machine_5,Silicon,Cleanroom_2,77.2,0.81,6.81,26.54,44.16
2023-03-24,Machine_15,Gallium Arsenide,Cleanroom_1,81.34,5.36,4.03,28.69,38.03
2023-07-31,Machine_4,Silicon Carbide,Cleanroom_4,91.11,9.25,11.85,29.42,32.51
2024-10-18,Machine_6,Silicon,Cleanroom_1,71.92,7.72,11.74,23.76,40.41
2023-03-02,Machine_20,Gallium Arsenide,Cleanroom_4,89.12,6.54,17.95,22.7,31.4
2024-04-04,Machine_9,Gallium Arsenide,Cleanroom_1,97.27,9.41,20.27,28.73,38.14
2024-09-07,Machine_14,Silicon Carbide,Cleanroom_2,71.34,4.98,5.1,25.34,43.37
2023-06-05,Machine_10,Gallium Arsenide,Cleanroom_3,72.74,1.26,6.79,28.44,47.4
2023-08-14,Machine_8,Gallium Arsenide,Cleanroom_2,98.79,5.08,19.84,23.19,37.95
2024-02-06,Machine_13,Germanium,Cleanroom_1,92.87,4.27,14.13,20.29,44.75
2023-09-28,Machine_15,Silicon,Cleanroom_2,91.72,5.52,2.51,28.88,49.44
2023-06-13,Machine_17,Germanium,Cleanroom_3,92.13,3.08,21.34,29.42,36.95
2023-09-09,Machine_14,Gallium Arsenide,Cleanroom_2,92.28,9.07,23.6,28.7,49.1
2024-01-31,Machine_14,Germanium,Cleanroom_1,79.54,4.91,8.66,28.61,32.25
2024-03-07,Machine_3,Gallium Arsenide,Cleanroom_1,98.75,8.12,19.36,21.42,39.32
2023-03-02,Machine_3,Germanium,Cleanroom_2,88.06,6.62,17.83,27.77,37.11
2023-01-13,Machine_14,Silicon,Cleanroom_3,86.03,4.89,1.9,22.2,34.28
2023-10-13,Machine_1,Germanium,Cleanroom_2,89.23,8.7,16.87,21.57,42.03
2023-02-08,Machine_13,Silicon,Cleanroom_1,80.41,3.72,13.11,25.16,47.19
2024-02-28,Machine_9,Silicon Carbide,Cleanroom_3,89.11,7.82,6.84,26.12,30.99
2024-07-14,Machine_18,Silicon,Cleanroom_4,80.66,6.03,3.74,22.46,36.97
2023-05-10,Machine_7,Silicon,Cleanroom_4,77.72,6.33,5.68,24.23,44.57
2023-02-14,Machine_4,Silicon,Cleanroom_1,80.52,6.95,6.45,23.63,37.18
2024-03-11,Machine_14,Silicon Carbide,Cleanroom_1,86.28,1.3,7.98,25.37,42.86
2023-07-04,Machine_8,Gallium Arsenide,Cleanroom_3,70.06,3.91,9.35,25.73,37.36
2024-01-30,Machine_8,Germanium,Cleanroom_4,92.48,8.69,2.66,24.4,31.33
2024-09-24,Machine_8,Gallium Arsenide,Cleanroom_4,85.33,4.63,2.97,22.04,36.74
2023-08-31,Machine_11,Silicon,Cleanroom_3,88.37,7.45,13.05,26.7,39.07
2024-03-25,Machine_11,Germanium,Cleanroom_1,81.59,3.54,15.56,25.86,40.91
2024-10-19,Machine_18,Silicon Carbide,Cleanroom_3,71.47,4.7,11.22,27.49,43.63
2024-07-03,Machine_1,Silicon,Cleanroom_2,81.26,2.77,12.82,29.25,35.09
2024-12-09,Machine_20,Silicon,Cleanroom_4,90.15,3.51,10.74,20.93,49.1
2023-08-15,Machine_18,Silicon Carbide,Cleanroom_2,74.17,7.99,12.58,29.56,47.87
2024-08-25,Machine_18,Silicon,Cleanroom_3,70.64,8.53,6.07,28.49,42.63
2023-03-14,Machine_11,Germanium,Cleanroom_4,88.06,3.14,7.3,23.24,44.79
2023-01-17,Machine_11,Silicon Carbide,Cleanroom_1,98.31,4.25,5.48,22.53,30.46
2023-01-06,Machine_15,Germanium,Cleanroom_4,72.11,7.64,7.53,26.78,43.48
2024-01-06,Machine_13,Silicon Carbide,Cleanroom_2,80.8,1.21,21.15,24.47,47.34
2023-05-22,Machine_8,Germanium,Cleanroom_3,91.73,9.21,21.73,25.3,32.02
2023-11-04,Machine_12,Silicon Carbide,Cleanroom_1,98.29,4.48,19.67,20.64,37.75
2024-06-02,Machine_9,Gallium Arsenide,Cleanroom_4,75.85,2.87,0.51,27.59,48.95
2024-01-20,Machine_8,Gallium Arsenide,Cleanroom_1,88.85,1.77,22.83,26.78,37.61
2024-01-25,Machine_11,Silicon,Cleanroom_2,71.42,6.4,6.0,26.79,35.75
2024-01-12,Machine_1,Germanium,Cleanroom_2,83.65,0.14,21.7,24.08,31.47
2023-04-18,Machine_11,Silicon,Cleanroom_2,81.92,5.25,21.15,25.24,46.25
2023-11-04,Machine_11,Silicon Carbide,Cleanroom_3,87.68,0.23,4.98,24.04,42.0
2024-02-13,Machine_12,Silicon,Cleanroom_1,86.68,9.64,15.05,24.59,41.62
2023-06-27,Machine_17,Silicon Carbide,Cleanroom_1,71.79,2.27,22.93,20.74,39.89
2023-04-08,Machine_13,Gallium Arsenide,Cleanroom_3,91.89,2.55,20.5,26.49,47.83
2024-11-22,Machine_11,Silicon Carbide,Cleanroom_1,92.56,5.08,14.35,24.55,31.94
2023-08-02,Machine_6,Silicon Carbide,Cleanroom_2,80.37,4.51,5.5,28.31,36.95
2023-03-08,Machine_5,Gallium Arsenide,Cleanroom_3,79.86,5.65,14.82,25.34,32.65
2023-12-25,Machine_7,Germanium,Cleanroom_4,85.62,5.42,21.09,23.43,44.31
2023-02-21,Machine_20,Silicon,Cleanroom_1,97.75,4.66,8.51,28.68,31.47
2024-11-02,Machine_13,Silicon,Cleanroom_3,84.59,6.21,18.49,21.74,41.55
2024-03-03,Machine_18,Silicon,Cleanroom_3,84.09,1.79,4.8,25.45,31.37
2023-12-25,Machine_9,Gallium Arsenide,Cleanroom_4,99.49,8.09,17.27,29.36,35.62
2023-01-06,Machine_10,Gallium Arsenide,Cleanroom_3,76.42,7.54,6.8,23.15,44.11
